org.apache.lucene.xmlparser.builders.BoostingQueryBuilder,0
org.apache.lucene.xmlparser.QueryBuilder,1
org.apache.lucene.xmlparser.builders.FuzzyLikeThisQueryBuilder,2
org.apache.lucene.xmlparser.QueryBuilderFactory,3
org.apache.lucene.xmlparser.builders.UserInputQueryBuilder,4
org.apache.lucene.xmlparser.builders.FilteredQueryBuilder,5
org.apache.lucene.xmlparser.builders.LikeThisQueryBuilder,6
org.apache.lucene.xmlparser.builders.TermQueryBuilder,7
org.apache.lucene.xmlparser.builders.MatchAllDocsQueryBuilder,8
org.apache.lucene.xmlparser.CoreParser,9
org.apache.lucene.xmlparser.builders.BooleanQueryBuilder,10
org.apache.lucene.xmlparser.builders.ConstantScoreQueryBuilder,11
org.apache.lucene.ant.FileExtensionDocumentHandler,12
org.apache.lucene.ant.DocumentHandler,13
org.apache.lucene.index.MultiTermPositions,14
org.apache.lucene.index.TermPositions,15
org.apache.lucene.index.MultiTermDocs,16
org.apache.lucene.index.TermDocs,17
org.apache.lucene.index.ParallelReader.ParallelTermDocs,18
org.apache.lucene.index.SegmentTermDocs,19
org.apache.lucene.index.FilterIndexReader.FilterTermDocs,20
org.apache.lucene.search.RemoteSearchable,21
org.apache.lucene.search.Searchable,22
org.apache.lucene.search.Searcher,23
org.apache.lucene.search.FieldCacheImpl,24
org.apache.lucene.search.FieldCache,25
org.apache.lucene.queryParser.FastCharStream,26
org.apache.lucene.queryParser.CharStream,27
org.apache.lucene.index.SegmentTermVector,28
org.apache.lucene.index.TermFreqVector,29
org.apache.lucene.search.QueryTermVector,30
org.apache.lucene.search.spell.PlainTextDictionary,31
org.apache.lucene.search.spell.Dictionary,32
org.apache.lucene.search.spell.LuceneDictionary,33
org.apache.lucene.search.MultiPhraseQuery.MultiPhraseWeight,34
org.apache.lucene.search.Weight,35
org.apache.lucene.search.TermQuery.TermWeight,36
org.apache.lucene.search.DisjunctionMaxQuery.DisjunctionMaxWeight,37
org.apache.lucene.search.spans.SpanWeight,38
org.apache.lucene.search.BooleanQuery.BooleanWeight,39
org.apache.lucene.search.MatchAllDocsQuery.MatchAllDocsWeight,40
org.apache.lucene.queryParser.surround.query.SimpleTerm,41
org.apache.lucene.queryParser.surround.query.DistanceSubQuery,42
org.apache.lucene.queryParser.surround.query.DistanceQuery,43
org.apache.lucene.queryParser.surround.query.OrQuery,44
org.apache.lucene.queryParser.precedence.PrecedenceQueryParser,45
org.apache.lucene.queryParser.precedence.PrecedenceQueryParserConstants,46
org.apache.lucene.queryParser.precedence.PrecedenceQueryParserTokenManager,47
org.apache.lucene.queryParser.precedence.FastCharStream,48
org.apache.lucene.queryParser.precedence.CharStream,49
org.apache.lucene.search.highlight.HighlighterTest,50
org.apache.lucene.search.highlight.Formatter,51
org.apache.lucene.search.highlight.SimpleHTMLFormatter,52
org.apache.lucene.search.highlight.GradientFormatter,53
org.apache.lucene.search.highlight.SimpleHTMLEncoder,54
org.apache.lucene.search.highlight.Encoder,55
org.apache.lucene.search.highlight.DefaultEncoder,56
org.apache.lucene.queryParser.surround.parser.QueryParserTokenManager,57
org.apache.lucene.queryParser.surround.parser.QueryParserConstants,58
org.apache.lucene.queryParser.surround.parser.QueryParser,59
org.apache.lucene.queryParser.surround.parser.FastCharStream,60
org.apache.lucene.queryParser.surround.parser.CharStream,61
org.apache.lucene.search.highlight.NullFragmenter,62
org.apache.lucene.search.highlight.Fragmenter,63
org.apache.lucene.search.highlight.SimpleFragmenter,64
org.apache.lucene.xmlparser.builders.SpanBuilderBase,65
org.apache.lucene.xmlparser.builders.SpanQueryBuilder,66
org.apache.lucene.xmlparser.builders.SpanQueryBuilderFactory,67
org.apache.lucene.analysis.standard.FastCharStream,68
org.apache.lucene.analysis.standard.CharStream,69
org.apache.lucene.xmlparser.builders.TermsFilterBuilder,70
org.apache.lucene.xmlparser.FilterBuilder,71
org.apache.lucene.xmlparser.builders.RangeFilterBuilder,72
org.apache.lucene.xmlparser.builders.BooleanFilterBuilder,73
org.apache.lucene.xmlparser.FilterBuilderFactory,74
org.apache.lucene.analysis.standard.StandardTokenizerTokenManager,75
org.apache.lucene.analysis.standard.StandardTokenizerConstants,76
org.apache.lucene.analysis.standard.StandardTokenizer,77
org.apache.lucene.analysis.standard.StandardFilter,78
org.apache.lucene.search.regex.JavaUtilRegexCapabilities,79
org.apache.lucene.search.regex.RegexCapabilities,80
org.apache.lucene.search.regex.JakartaRegexpCapabilities,81
org.apache.lucene.demo.html.HTMLParserTokenManager,82
org.apache.lucene.demo.html.HTMLParserConstants,83
org.apache.lucene.demo.html.HTMLParser,84
org.apache.lucene.search.regex.SpanRegexQuery,85
org.apache.lucene.search.regex.RegexQueryCapable,86
org.apache.lucene.search.regex.RegexQuery,87
org.apache.lucene.queryParser.QueryParserTokenManager,88
org.apache.lucene.queryParser.QueryParserConstants,89
org.apache.lucene.queryParser.QueryParser,90
org.apache.lucene.queryParser.TestMultiAnalyzer.DumbQueryWrapper,91
org.apache.lucene.search.Query,92
org.apache.lucene.search.MultiPhraseQuery,93
org.apache.lucene.queryParser.surround.query.FieldsQuery,94
org.apache.lucene.analysis.TestKeywordAnalyzer,95
org.apache.lucene.queryParser.TestQueryParser,96
org.apache.lucene.queryParser.TestQueryParser.QPTestParser,97
org.apache.lucene.queryParser.TestMultiAnalyzer,98
org.apache.lucene.queryParser.TestMultiAnalyzer.DumbQueryParser,99
org.apache.lucene.search.TestMultiSearcherRanking,100
org.apache.lucene.queryParser.surround.query.SrndBooleanQuery,101
org.apache.lucene.queryParser.surround.query.SrndQuery,102
org.apache.lucene.queryParser.surround.query.ComposedQuery,103
org.apache.lucene.queryParser.surround.query.NotQuery,104
org.apache.lucene.queryParser.surround.query.AndQuery,105
org.apache.lucene.search.IndexSearcher,106
org.apache.lucene.search.MultiSearcher,107
org.apache.lucene.search.MultiSearcher.CachedDfSource,108
org.apache.lucene.ant.IndexTask,109
org.apache.lucene.search.TestPrefixQuery,110
org.apache.lucene.search.TestDisjunctionMaxQuery,111
org.apache.lucene.search.TestParallelMultiSearcher,112
org.apache.lucene.search.TestBooleanOr,113
org.apache.lucene.search.QueryFilter,114
lucli.LuceneMethods,115
org.apache.lucene.search.TestRangeFilter,116
org.apache.lucene.ant.IndexTaskTest,117
org.apache.lucene.search.TestCustomSearcherSort,118
org.apache.lucene.search.TestMultiPhraseQuery,119
org.apache.lucene.search.regex.TestSpanRegexQuery,120
org.apache.lucene.index.memory.MemoryIndex,121
org.apache.lucene.index.memory.MemoryIndex.MemoryIndexReader,122
org.apache.lucene.search.TestBoolean2,123
org.apache.lucene.search.similar.MoreLikeThis,124
org.apache.lucene.xmlparser.TestParser,125
org.apache.lucene.TestHitIterator,126
org.apache.lucene.swing.models.TableSearcher,127
org.apache.lucene.queryParser.surround.query.BooleanQueryTst,128
org.apache.lucene.search.Similarity,129
org.apache.lucene.search.TestDocBoost,130
org.apache.lucene.search.TermQuery,131
org.apache.lucene.search.DisjunctionMaxQuery,132
org.apache.lucene.search.TestSetNorm,133
org.apache.lucene.SearchTestForDuplicates,134
org.apache.lucene.search.Hits,135
org.apache.lucene.index.memory.MemoryIndexTest,136
org.apache.lucene.search.TestBooleanMinShouldMatch,137
org.apache.lucene.TestSearch,138
org.apache.lucene.search.spans.TestBasics,139
org.apache.lucene.search.TestRangeQuery,140
org.apache.lucene.ThreadSafetyTest,141
org.apache.lucene.ThreadSafetyTest.SearcherThread,142
org.apache.lucene.search.TestFilteredQuery,143
org.apache.lucene.search.TestMultiSearcher,144
