name,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,bug
fr.jayasoft.ivy.repository.vfs.IvyWebdavFileSystem,0.0017347008644048563,-0.014986939233725889,0.06217745954763829,0.024100278496931603,0.010478213699354949,0.019776047671991103,0.12260139412001067,0.04272199197865738,0.020527111518679735,-0.02800123946850053,0.027123280968220365,-0.005208748441385618,-0.01805791453214348,0.02142903644756179,0.09941845285704953,-0.08696458665060439,0.08270540684664546,0.18191237991450757,-0.029092857193850147,-0.2533983476441952,0.04577241156575871,-0.0035236456826080783,0.2138686667290535,0.14499881113863203,-0.16986503875803502,0.03740587256249496,-0.29666523129975825,-0.23810647332756069,0.299264095994795,0.004802067703718232,-0.635136233497865,-0.3405410228924743,0
fr.jayasoft.ivy.util.EncrytedProperties,0.03456027831994785,-0.070914742615988,0.06752964057867368,0.19716968765940282,0.026882090445415292,-0.0944412293992708,0.057577623023092286,-0.015753080580065255,0.023408998974728423,0.001657557873026774,0.15740074303928034,0.002891420596191591,0.003054862006665847,0.20576280284204632,0.0470148467229165,-0.20265168243860818,0.2593725974047532,0.3323071919959897,0.05014845051894613,-0.15967418718048434,0.1549499733932892,-0.16159856857163823,0.42765525815577304,-0.16470322318308742,-0.4018985233843645,0.3883410387358623,0.08606079723249377,-0.1243367946318403,0.06347291246802207,0.05885113678540583,-0.057762544580600594,0.11956928304652407,0
fr.jayasoft.ivy.xml.XmlModuleDescriptorUpdater,0.17524118404072273,-0.03885096125078257,0.08710962772178957,0.0524418714729953,0.09145452429015892,0.1556811899843706,0.033712692833472356,0.28433179772849654,-0.33635179491602823,0.1146346820462695,-0.08256262151446027,0.044378989132554385,-0.07784029110238148,0.2231291746355955,-0.05163603842401371,0.500528983069936,0.01222030555597808,0.016928228329681754,-0.07789796047827208,-0.060974928310025295,0.11424692808116184,0.07384174173502649,0.14738244840509848,0.13219624103784558,-0.11885597157660545,-0.43569006385896064,0.004846905400759403,-0.24757693687133178,0.11678150067270077,0.22657408826310277,0.02431625835450021,-0.0006751405182680411,1
fr.jayasoft.ivy.resolver.IvyRepResolver,0.33294471446738605,0.4143006073243356,0.07147276914515738,-0.14616477442328102,0.5599324239956001,0.10440988389510394,0.06570771992330547,-0.13837312173428018,-0.049133149788197314,-0.05201799239565791,0.2918958683997347,0.08102235479516841,-0.0038591315020062972,0.07151346858735481,0.027403651007957167,0.12128718047167215,-0.24480819458006253,-0.07701325901484064,-0.10140649665382294,0.05923499900086023,-0.00525864704303854,0.08712287368903264,0.14808221534064295,-0.06124852619118348,-0.10347480897531028,-0.11857102966766997,-0.2350995521914791,-0.044355452001704355,0.1493541629343372,0.006940314301752355,0.08876416280628312,-0.02168914409601042,0
fr.jayasoft.ivy.event.resolve.StartResolveDependencyEvent,0.3297249670049114,0.13452128999768811,-0.11866637665559544,0.01666305785230591,0.05817508016429029,0.051548212566988674,0.030103462471722423,0.22257071254141134,-0.3953641697104758,-0.10532084448510613,0.04773164566191192,0.06507658390058794,0.381289589890108,0.05552208458052237,0.051329629397832734,0.26958160130901165,0.2917588125418793,-0.14520766407857397,-9.195583328317493e-05,0.024325548134687992,0.15271403405258901,-0.09490005614697711,0.10003867576904081,-0.07993307030223666,-0.268824590220436,0.10276768164359638,0.02110996649000189,0.011538354726422851,-0.31802043215418474,-0.10292230439567486,0.13310962052898298,0.19044414520321543,0
fr.jayasoft.ivy.matcher.ExactPatternMatcher,0.13339207743782827,-0.19538298933565504,-0.19592558549669253,0.11835737661992067,0.025021718096033818,0.7318128684075688,-0.03681776359500589,-0.08728512884769046,-0.08987782093511891,0.13284413069833212,-0.01928150226041303,-0.03505908461945762,-0.09459925546261194,0.12255091896502197,-0.05723050124290177,6.917742335362766e-05,0.10868473257161146,0.06687634303896556,0.04849784163545836,-0.04816520495721788,0.010231943671613853,0.15349468017617307,-0.006135592608373932,0.03566154921924467,0.17653207914671648,-0.27737617091549593,0.11719914051958265,-0.0007729221288948467,0.10896157834220131,-0.135937336518559,-0.037838682153028165,0.30391545672631354,0
fr.jayasoft.ivy.url.HttpClientHandler,0.04152460159940313,-0.12896021522404658,0.41942184730136073,0.11377540774729746,0.06665520484539958,0.10430120942432622,0.5394986632383448,0.16676525856217977,0.06276767779858192,-0.11978818412766386,-0.0012534361673765223,-0.06742953752036922,-0.03643756369087097,0.011267773369270343,0.1615281970080669,-0.15047602018930625,0.17786561809515797,0.16357925368461382,-0.03753961707827733,0.03755566086032743,0.18715835065454986,0.04192128025936436,0.02568104211320104,-0.2778106829001163,-0.013382580343422604,-0.00104090627174019,0.3319262179464746,0.01349526276441482,0.07687979626774105,-0.20551531474878915,0.2199778997013934,-0.05153055217128198,0
fr.jayasoft.ivy.matcher.ExactOrRegexpPatternMatcher,0.11653391873362824,-0.12559449408078963,-0.15327475024423917,0.14605457078362927,0.06764896195800016,0.7204551533399535,-0.05306579573412742,0.009177447787665957,-0.12376789023989622,0.1287932692247859,-0.09725622450576694,-0.13344983874219463,-0.09513740816554705,0.1912944394142027,-0.16323336616026718,0.0371233037883709,0.13165688201127215,0.02795238245270105,0.04645135741878056,-0.22085620092106067,-0.037432613866451095,0.023233450848533198,-0.0014264948901436332,0.03745219535866839,0.14760349161653624,-0.23490326484220508,0.04370281383902465,0.029659338660807225,0.04897709470354223,-0.2313516258870804,0.15927294805992415,0.1816724315822271,0
fr.jayasoft.ivy.event.download.NeedArtifactEvent,0.2900790573098737,0.2227721238929391,0.06814235102240333,0.0387176272112841,-0.18493702401587805,0.07505138844871383,-0.0716446291572692,0.05064262379742074,-0.2630117526607971,-0.12731724891851884,-0.07367971472421804,-0.05358180728374113,-0.15565221180504965,0.31169050587900105,0.038628144018802324,0.22077758207021833,0.33794883173949847,0.15983459966691524,0.11350923727358703,0.40359844572074727,-0.005142505216727971,0.17376805926511493,0.0040331566228026475,0.17344912120088488,-0.09337816855040623,0.03834875308281407,-0.057709001753579806,0.10390160899686451,-0.3448716170419617,-0.16475661177558407,-0.02016208497735969,-0.024399505064303224,0
fr.jayasoft.ivy.repository.ssh.SshResource,0.07690363400002695,-0.0978746674705612,0.2894248701243214,-0.23976472104082697,-0.049924808097633486,0.04978425259803106,-0.27049789775830974,-0.147162055598826,-0.05487998930199787,0.13983703759574337,-0.06461026190753283,0.010832481890739811,0.0765680013786807,0.09325161739309783,0.008179756274477605,-0.15832582002128906,-0.035494978972323316,0.14222009696698304,-0.06398447820943373,0.18976088589362372,0.02743090290477569,0.1342920909460503,0.11502725534161963,-0.2180787755248406,0.02324696514157899,-0.14934409120355116,0.35158726082515174,0.11294929807274354,-0.03888957397830098,0.4959374995798795,0.34449543371655733,-0.10188423128397261,0
